the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_reliable_supply_k,FY2024 campus against current 8.7 MGD reliable peak-season system supply,current_reliable_supply_capacity,yes,yes,campus,operating FY2024,K,8.7,MGD,8.7,MGD,M,City of The Dalles 2025 Water Management and Conservation Plan,2025,"Section 5.4, p. 107 of City Council agenda compilation: total current reliable peak-season supply 13.4 cfs (8.7 MGD)",current reliable peak-season supply,municipal surface water and groundwater,City of The Dalles water system,current reliable peak-season system supply,conditional,authoritative_current,,,,conditional_scenario,Directly reported current reliable system supply considering operational constraints; not available headroom.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,W_avg,1.259836065573771,MGD,461.1,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,The Dalles campus,not applicable,temporal_mismatch,verified_local,,,,within_site_scenario_only,Current numerator with explicitly historical denominator.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,C_avg,0.987431693989071,MGD,361.4,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,The Dalles campus,not applicable,temporal_mismatch,verified_local,,,,within_site_scenario_only,Same campus and year as withdrawal.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,PF_shared,2.21,dimensionless,2.21,dimensionless,R,Consor Water System Master Plan Update cited in first submission and Han et al.,2024,Zone 310,pressure-zone peaking factor,unknown,pressure zone containing campus,not applicable,temporal_mismatch,cited_not_locally_verified,,,,within_site_scenario_only,Zone proxy.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,K,4.5,MGD,3.4 + 1.1,MGD,M,City of The Dalles 2006 Water System Master Plan,2006,3.4 MGD Wicks WTP plus 1.1 MGD reliable groundwater,historical reliable supply,municipal surface water and groundwater,City of The Dalles system,historical reliable supply,temporal_mismatch,authoritative_historical,,,,within_site_scenario_only,Not a verified current 2026 capacity.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,W_avg,1.213387978142077,MGD,444.1,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,7.4 Mgal potable plus 436.7 Mgal reclaimed,Douglas County campus,not applicable,fail,verified_local,,,,not_admissible,Combined withdrawal mixes water pathways.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,C_avg,1.002459016393443,MGD,366.9,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,"mixed, not allocated by source",Douglas County campus,not applicable,fail,verified_local,,,,not_admissible,Source-specific consumption is unavailable.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,PF_shared,2.5,dimensionless,2.5,dimensionless,A,Author-assumed warm-climate default,2026,WCI input documentation,author-selected planning scenario,unknown,not site specific,not applicable,fail,author_assumption,,,,not_admissible,No site-specific peak evidence.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,K,,MGD,,MGD,U,DDCWSA FY2024 record separates reclaimed and potable capacities,2024,no verified combined denominator,unresolved combined capacity,mixed,multiple utility subsystems,unresolved combined capacity,fail,unresolved,,,,not_admissible,Combined-campus WCI/PDLR remain NA; primary comparison is the matched reclaimed-water pathway.
douglas_county_ga,Douglas County,GA,Google,douglas_reclaimed_subsystem_wci_pdlr,FY2024 reclaimed-water pathway against 3 MGD reclaimed subsystem K,reclaimed_pathway_primary_scenario,yes,yes,campus reclaimed stream,operating FY2024,W_avg,1.193169398907104,MGD,436.7,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,reclaimed,Douglas County campus reclaimed stream,not applicable,conditional,verified_local,,,,conditional_scenario,Reclaimed withdrawal is source specific.
